# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
coffee granules,Coffee & tea,Coffee,Herbs & spices,plant
coffee grounds,Coffee & tea,Coffee,Herbs & spices,plant
coffee liqueur,Coffee & tea,Coffee,Herbs & spices,plant
coffee liquor,Coffee & tea,Coffee,Herbs & spices,plant
coffee mate,Coffee & tea,Coffee,Herbs & spices,plant
coffee powder,Coffee & tea,Coffee,Herbs & spices,plant
coffee syrup,Coffee & tea,Coffee,Herbs & spices,plant
cognac,Alcoholic beverages,Brandy,Condiments & sauces,plant
cojita cheese,Aged cheese,Aged cheese,Dairy,dairy
coke,Soft drinks,Soft drinks,Sweets,plant
cokes,Soft drinks,Soft drinks,Sweets,plant
cola,Soft drinks,Soft drinks,Sweets,plant
cola beverage,Soft drinks,Soft drinks,Sweets,plant
cola drink,Soft drinks,Soft drinks,Sweets,plant
cola soda,Soft drinks,Soft drinks,Sweets,plant
cola soft drink,Soft drinks,Soft drinks,Sweets,plant
colby,Processed cheese,Semi-soft cheese,Dairy,dairy
colby cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
colby jack,Processed cheese,Semi-soft cheese,Dairy,dairy
colby jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
colby monterey jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
colby-jack cheese,Aged cheese,Aged cheese,Dairy,dairy
colby-monterey,Processed cheese,Semi-soft cheese,Dairy,dairy
colby-monterey jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
cold beer,Alcoholic beverages,Beer,Condiments & sauces,plant
cold biscuits,Bread & baked goods,Biscuits,Grains,plant
cold black coffee,Coffee & tea,Coffee,Herbs & spices,plant
cold brewed coffee,Coffee & tea,Coffee,Herbs & spices,plant
cold champagne,Alcoholic beverages,Wine,Condiments & sauces,plant
cold club soda,Soft drinks,Soft drinks,Sweets,plant
cold coffee,Coffee & tea,Coffee,Herbs & spices,plant
cold eggnog,Soft drinks,Dairy beverages,Sweets,dairy
cold espresso,Coffee & tea,Coffee,Herbs & spices,plant
cold margarine,Margarine & shortening,Margarine,Fats & oils,plant
cold oleo,Margarine & shortening,Margarine,Fats & oils,plant
cold seltzer,Soft drinks,Soft drinks,Sweets,plant
cold seltzer water,Soft drinks,Soft drinks,Sweets,plant
cold soda water,Soft drinks,Soft drinks,Sweets,plant
cold sparkling water,Soft drinks,Soft drinks,Sweets,plant
cold strong coffee,Coffee & tea,Coffee,Herbs & spices,plant
cold tea,Coffee & tea,Tea,Herbs & spices,plant
cold vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
cold vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
cole slaw,Leafy greens,Cabbage,Vegetables,plant
cole slaw dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
coleslaw,Leafy greens,Cabbage,Vegetables,plant
coleslaw dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
coleslaw mix,Leafy greens,Cabbage,Vegetables,plant
color,Extracts & essences,Food coloring,Herbs & spices,plant
colored,Extracts & essences,Food coloring,Herbs & spices,plant
colored mini,Extracts & essences,Food coloring,Herbs & spices,plant
colored miniature,Extracts & essences,Food coloring,Herbs & spices,plant
colored sprinkles,Extracts & essences,Food coloring,Herbs & spices,plant
coloring,Extracts & essences,Food coloring,Herbs & spices,plant
coloring gel,Extracts & essences,Food coloring,Herbs & spices,plant
coloring of choice,Extracts & essences,Food coloring,Herbs & spices,plant
coloring of your choice,Extracts & essences,Food coloring,Herbs & spices,plant
coloring optional,Extracts & essences,Food coloring,Herbs & spices,plant
coloring paste,Extracts & essences,Food coloring,Herbs & spices,plant
coloring red,Extracts & essences,Food coloring,Herbs & spices,plant
colorings,Extracts & essences,Food coloring,Herbs & spices,plant
colors,Extracts & essences,Food coloring,Herbs & spices,plant
comino,Dried spices,Seed spices,Herbs & spices,plant
comino powder,Dried spices,Seed spices,Herbs & spices,plant
comino seed,Dried spices,Seed spices,Herbs & spices,plant
cominos,Dried spices,Seed spices,Herbs & spices,plant
commercial oil,Oils,Vegetable oils,Fats & oils,plant
common crackers,Bread & baked goods,Crackers,Grains,plant
complete seasoning,Spice blends,American blends,Herbs & spices,plant
comstock pie filling,Prepared mixes,Pie fillings,Sweets,plant
comte,Aged cheese,Swiss,Dairy,dairy
comte cheese,Aged cheese,Swiss,Dairy,dairy
concentrate lemonade,Juices,Fruit juices,Fruits,plant
condensed cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
condensed consomme,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
condensed mincemeat,Sweets,Confectionery,Sweets,plant
condensed nacho cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
condensed soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
consomme,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
consomme soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
container creme fraiche,Fermented dairy,Cultured milk,Dairy,dairy
container whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
containers crescent rolls,Bread & baked goods,Pastries,Grains,plant
containers vanilla frosting,Sweets,Confectionery,Sweets,plant
containers whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
cook oatmeal,Whole grains,Oats,Grains,plant
cook oats,Whole grains,Oats,Grains,plant
cooked crabmeat,Shellfish,Crab,Protein (animal),animal
cooked grits,Whole grains,Wheat,Grains,plant
cooked lasagna noodles,Refined grains,Pasta,Grains,plant
cooked rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
cooked shell macaroni,Refined grains,Pasta,Grains,plant
cooked wheat berries,Berries,Berries,Fruits,plant
cookie,Sweets,Confectionery,Sweets,plant
cookie base,Sweets,Confectionery,Sweets,plant
cookie crumbs,Sweets,Confectionery,Sweets,plant
cookie crust,Sweets,Confectionery,Sweets,plant
cookie cutter,Sweets,Confectionery,Sweets,plant
cookie cutters,Sweets,Confectionery,Sweets,plant
cookie dough,Sweets,Confectionery,Sweets,plant
cookie layer,Sweets,Confectionery,Sweets,plant
cookie mix,Prepared mixes,Cookie mixes,Sweets,plant
cookie pie crust,Bread & baked goods,Pastries,Grains,plant
cookie pie crusts,Bread & baked goods,Pastries,Grains,plant
cookie sheet,Sweets,Confectionery,Sweets,plant
cookie sheets,Sweets,Confectionery,Sweets,plant
cookies,Sweets,Confectionery,Sweets,plant
cooking grits,Whole grains,Wheat,Grains,plant
cooking oatmeal,Whole grains,Oats,Grains,plant
cooking oats,Whole grains,Oats,Grains,plant
cooking oil,Oils,Vegetable oils,Fats & oils,plant
cooking oil spray,Oils,Vegetable oils,Fats & oils,plant
cooking polenta,Whole grains,Wheat,Grains,plant
cooking salt,Salt & seasonings,Salt,Herbs & spices,plant
cooking sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
cooking sherry wine,Alcoholic beverages,Wine,Condiments & sauces,plant
cooking tapioca,Flours,Starches,Grains,plant
cooking white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
cooking wine,Alcoholic beverages,Wine,Condiments & sauces,plant
cool whip,Prepared mixes,Whipped toppings,Sweets,dairy
cool whip container,Prepared mixes,Whipped toppings,Sweets,dairy
cool whip frozen,Prepared mixes,Whipped toppings,Sweets,dairy
cool whip frozen whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
cool whip light whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
cool whip lite,Prepared mixes,Whipped toppings,Sweets,dairy
cool whip topping,Prepared mixes,Whipped toppings,Sweets,dairy
cooled coffee,Coffee & tea,Coffee,Herbs & spices,plant
cooled espresso,Coffee & tea,Coffee,Herbs & spices,plant
cooled pie crust,Bread & baked goods,Pastries,Grains,plant
cooled pie shell,Bread & baked goods,Pastries,Grains,plant
coon cheese,Aged cheese,Aged cheese,Dairy,dairy
coors beer,Alcoholic beverages,Beer,Condiments & sauces,plant
coriander,Dried spices,Seed spices,Herbs & spices,plant
coriander chopped,Dried spices,Seed spices,Herbs & spices,plant
coriander dressing,Dried spices,Seed spices,Herbs & spices,plant
coriander fresh,Dried spices,Seed spices,Herbs & spices,plant
coriander ground,Dried spices,Seed spices,Herbs & spices,plant
coriander leaf,Dried spices,Seed spices,Herbs & spices,plant
coriander leaves,Dried spices,Seed spices,Herbs & spices,plant
coriander leaves fresh,Dried spices,Seed spices,Herbs & spices,plant
coriander powder,Dried spices,Seed spices,Herbs & spices,plant
coriander root,Dried spices,Seed spices,Herbs & spices,plant
coriander roots,Dried spices,Seed spices,Herbs & spices,plant
coriander sprig,Dried spices,Seed spices,Herbs & spices,plant
coriander sprigs,Dried spices,Seed spices,Herbs & spices,plant
coriander stems,Dried spices,Seed spices,Herbs & spices,plant
corkscrew macaroni,Refined grains,Pasta,Grains,plant
cornbread,Bread & baked goods,Cornbread,Grains,plant
cornbread crumbs,Bread & baked goods,Cornbread,Grains,plant
cornbread dressing,Bread & baked goods,Cornbread,Grains,plant
cornbread dressing mix,Bread & baked goods,Cornbread,Grains,plant
cornbread mix,Bread & baked goods,Cornbread,Grains,plant
cornbread stuffing,Bread & baked goods,Cornbread,Grains,plant
cornbread stuffing mix,Bread & baked goods,Cornbread,Grains,plant
cornflake cereal,Prepared mixes,Cereals,Grains,plant
cornflake crumbs,Bread & baked goods,Crackers,Grains,plant
cornflakes,Prepared mixes,Cereals,Grains,plant
cornflakes cereal,Prepared mixes,Cereals,Grains,plant
cornflour,Flours,Starches,Grains,plant
cornflour mixed,Flours,Starches,Grains,plant
cornichons,Pickled vegetables,Pickled cucumber & cabbage,Condiments & sauces,plant
cos lettuce,Leafy greens,Lettuce,Vegetables,plant
cottonseed oil,Oils,Vegetable oils,Fats & oils,plant
country biscuits,Bread & baked goods,Biscuits,Grains,plant
country gravy,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
country gravy mix,Prepared mixes,Seasoning mixes,Condiments & sauces,plant
country spareribs,Red meat,Pork,Protein (animal),animal
country style hash browns,Starchy vegetables,Potato,Vegetables,plant
country style ribs,Red meat,Pork,Protein (animal),animal
country style spareribs,Red meat,Pork,Protein (animal),animal
country-style ribs,Red meat,Pork,Protein (animal),animal
country-style spareribs,Red meat,Pork,Protein (animal),animal
courgette,Non-starchy vegetables,Summer squash,Vegetables,plant
courgettes,Non-starchy vegetables,Summer squash,Vegetables,plant
course kosher salt,Salt & seasonings,Salt,Herbs & spices,plant
course salt,Salt & seasonings,Salt,Herbs & spices,plant
course sea salt,Salt & seasonings,Salt,Herbs & spices,plant
court bouillon,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
cow cheese,Aged cheese,Aged cheese,Dairy,dairy
crabmeat,Shellfish,Crab,Protein (animal),animal
cracked black,Dried spices,Whole spices,Herbs & spices,plant
cracked peppercorn,Dried spices,Whole spices,Herbs & spices,plant
cracked wheat,Whole grains,Wheat,Grains,plant
cracker,Bread & baked goods,Crackers,Grains,plant
cracker crumb,Bread & baked goods,Crackers,Grains,plant
cracker crumbs,Bread & baked goods,Crackers,Grains,plant
cracker crust,Bread & baked goods,Crackers,Grains,plant
cracker pie crust,Bread & baked goods,Crackers,Grains,plant
crackers,Bread & baked goods,Crackers,Grains,plant
crackers crumbs,Bread & baked goods,Crackers,Grains,plant
crawfish,Shellfish,Crustaceans,Protein (animal),animal
crawfish fat,Shellfish,Crustaceans,Protein (animal),animal
crawfish meat,Shellfish,Crustaceans,Protein (animal),animal
crawfish tail,Shellfish,Crustaceans,Protein (animal),animal
crawfish tails,Shellfish,Crustaceans,Protein (animal),animal
creamed cheese,Aged cheese,Aged cheese,Dairy,dairy
creamed soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
creamer,Plant milks,Plant milks,Dairy,dairy
creamy cheese,Aged cheese,Aged cheese,Dairy,dairy
creme cheese,Aged cheese,Aged cheese,Dairy,dairy
creme de cacao,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
creme de cassis,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
creme fraiche,Fermented dairy,Cultured milk,Dairy,dairy
cremini,Non-starchy vegetables,Mushrooms,Vegetables,plant
creole seasoning,Spice blends,American blends,Herbs & spices,plant
creole spice,Spice blends,American blends,Herbs & spices,plant
creole-style seasoning,Spice blends,American blends,Herbs & spices,plant
crepe,Bread & baked goods,Pastries,Grains,plant
crepe batter,Bread & baked goods,Pastries,Grains,plant
crepes,Bread & baked goods,Pastries,Grains,plant
crescent dinner rolls,Bread & baked goods,Rolls,Grains,plant
crescent roll,Bread & baked goods,Pastries,Grains,plant
crescent roll dough,Bread & baked goods,Pastries,Grains,plant
crescent rolls,Bread & baked goods,Pastries,Grains,plant
cresent rolls,Bread & baked goods,Bread,Grains,plant
crisco,Margarine & shortening,Shortening,Fats & oils,plant
crisco oil,Margarine & shortening,Shortening,Fats & oils,plant
crisp ladyfingers,Bread & baked goods,Cookies,Grains,plant
crisp lettuce,Leafy greens,Lettuce,Vegetables,plant
crisp lettuce leaf,Leafy greens,Lettuce,Vegetables,plant
crisp salad green,Leafy greens,Lettuce,Vegetables,plant
crisp salad greens,Leafy greens,Lettuce,Vegetables,plant
crispy wheat cereal squares,Prepared mixes,Cereals,Grains,plant
cross-rib roasts,Red meat,Beef,Protein (animal),animal
crouton,Bread & baked goods,Croutons,Grains,plant
croutons,Bread & baked goods,Croutons,Grains,plant
crowder peas,Legumes,Peas,Protein (plant),plant
crown roast,Red meat,Beef,Protein (animal),animal
crown royal,Alcoholic beverages,Whisky,Condiments & sauces,plant
crumb pie crust,Bread & baked goods,Pastries,Grains,plant
crumb pie shell,Bread & baked goods,Pastries,Grains,plant
crumble topping,Bread & baked goods,Pastries,Grains,plant
crumbled biscuits,Bread & baked goods,Biscuits,Grains,plant
crumbled cheese,Aged cheese,Aged cheese,Dairy,dairy
crumbled cheese crackers,Bread & baked goods,Crackers,Grains,plant
crumbled cornbread,Bread & baked goods,Cornbread,Grains,plant
crumbled soda crackers,Bread & baked goods,Crackers,Grains,plant
crunchy cereal,Prepared mixes,Cereals,Grains,plant
crushed aniseed,Dried spices,Whole spices,Herbs & spices,plant
crushed biscuits,Bread & baked goods,Biscuits,Grains,plant
crushed black peppercorns,Dried spices,Whole spices,Herbs & spices,plant
crushed cheese,Aged cheese,Aged cheese,Dairy,dairy
crushed cheese crackers,Bread & baked goods,Crackers,Grains,plant
crushed cheese flavored crackers,Bread & baked goods,Crackers,Grains,plant
crushed chili flakes,Non-starchy vegetables,Chili peppers,Vegetables,plant
crushed cracker,Bread & baked goods,Crackers,Grains,plant
crushed cracker crumbs,Bread & baked goods,Crackers,Grains,plant
crushed gingersnaps,Sweets,Confectionery,Sweets,plant
crushed soda crackers,Bread & baked goods,Crackers,Grains,plant
crust pie crust,Bread & baked goods,Pastries,Grains,plant
crust pie crusts,Bread & baked goods,Pastries,Grains,plant
crust pie pastry,Bread & baked goods,Pastries,Grains,plant
crust pie shell,Bread & baked goods,Pastries,Grains,plant
crusty buns,Bread & baked goods,Rolls,Grains,plant
crusty kaiser rolls,Bread & baked goods,Rolls,Grains,plant
crusty roll,Bread & baked goods,Bread,Grains,plant
crusty rolls,Bread & baked goods,Bread,Grains,plant
crusty sandwich buns,Bread & baked goods,Rolls,Grains,plant
crusty sandwich rolls,Bread & baked goods,Bread,Grains,plant
crystal salt,Salt & seasonings,Salt,Herbs & spices,plant
crème de cacao,Sweets,Chocolate,Sweets,plant
cuban rolls,Bread & baked goods,Bread,Grains,plant
cube steak,Red meat,Beef,Protein (animal),animal
cube steaks,Red meat,Beef,Protein (animal),animal
cubed cheese,Aged cheese,Aged cheese,Dairy,dairy
cubed rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
culinary lavender,Fresh herbs,Soft herbs,Herbs & spices,plant
cummin seeds,Seeds,Seeds,Nuts & seeds,plant
cupcake,Sweets,Confectionery,Sweets,plant
cupcake batter,Sweets,Confectionery,Sweets,plant
cupcake liners,Sweets,Confectionery,Sweets,plant
cupcake pans,Sweets,Confectionery,Sweets,plant
cupcake papers,Sweets,Confectionery,Sweets,plant
cupcakes,Sweets,Confectionery,Sweets,plant
cups lettuce,Leafy greens,Lettuce,Vegetables,plant
cups wheat bran,Whole grains,Whole grains,Grains,plant
cups wheat germ,Whole grains,Whole grains,Grains,plant
curacao,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
curacao liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
curd,Legumes,Soy,Protein (plant),plant
curd cheese,Aged cheese,Aged cheese,Dairy,dairy
curd cottage,Legumes,Soy,Protein (plant),plant
curd low,Legumes,Soy,Protein (plant),plant
curds,Legumes,Soy,Protein (plant),plant
curing salt,Salt & seasonings,Salt,Herbs & spices,plant
curly lasagna noodles,Refined grains,Pasta,Grains,plant
curly lettuce,Leafy greens,Lettuce,Vegetables,plant
curly macaroni,Refined grains,Pasta,Grains,plant
current jelly,Jams & preserves,Fruit preserves,Sweets,plant
curry,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry ground,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry leaf,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry masala,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry oil,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry pwdr,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry roux,Condiments & sauces,Curry pastes,Condiments & sauces,plant
curry spice,Condiments & sauces,Curry pastes,Condiments & sauces,plant
custard,Prepared mixes,Puddings,Sweets,plant
custard base,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
custard filling,Prepared mixes,Puddings,Sweets,plant
custard mix,Prepared mixes,Puddings,Sweets,plant
custard powder,Prepared mixes,Puddings,Sweets,plant
cut rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
daikon,Non-starchy vegetables,Root vegetables,Vegetables,plant
daikon sprouts,Leafy greens,Sprouts,Vegetables,plant
dales,Legumes,Lentils,Protein (plant),plant
daniels,Alcoholic beverages,Whisky,Condiments & sauces,plant
darjeeling tea,Coffee & tea,Tea,Herbs & spices,plant
dark ale,Alcoholic beverages,Beer,Condiments & sauces,plant
dark beer,Alcoholic beverages,Beer,Condiments & sauces,plant
dark cocoa,Sweets,Chocolate,Sweets,plant
dark karo,Sweets,Syrup,Sweets,plant
dark karo syrup,Sweets,Syrup,Sweets,plant
dark roast coffee,Coffee & tea,Coffee,Herbs & spices,plant
dark rum,Alcoholic beverages,Rum,Condiments & sauces,plant
dark syrup,Sweets,Syrup,Sweets,plant
dark vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
decorating icing,Sweets,Confectionery,Sweets,plant
decorative candies,Sweets,Confectionery,Sweets,plant
decorative sprinkles,Sweets,Confectionery,Sweets,plant
decorator candies,Sweets,Confectionery,Sweets,plant
decorator icing,Sweets,Confectionery,Sweets,plant
deer,Red meat,Game,Protein (animal),animal
deer burger,Red meat,Game,Protein (animal),animal
deer meat,Red meat,Game,Protein (animal),animal
deer roast,Red meat,Beef,Protein (animal),animal
deer steak,Red meat,Beef,Protein (animal),animal
deli cheese,Aged cheese,Aged cheese,Dairy,dairy
deli coleslaw,Leafy greens,Cabbage,Vegetables,plant
deli meat,Processed meat,Deli,Protein (animal),animal
deli rolls,Bread & baked goods,Bread,Grains,plant
deluxe macaroni,Refined grains,Pasta,Grains,plant
deluxe yellow cake mix,Prepared mixes,Cake mixes,Sweets,plant
demi glace,Dried fruits,Dried fruits,Fruits,plant
dende oil,Oils,Vegetable oils,Fats & oils,plant
dessert wine,Alcoholic beverages,Wine,Condiments & sauces,plant
devils food cake mix,Prepared mixes,Cake mixes,Sweets,plant
dew,Soft drinks,Soft drinks,Sweets,plant
dew soda,Soft drinks,Soft drinks,Sweets,plant
diced cheese,Aged cheese,Aged cheese,Dairy,dairy
digestive biscuit,Bread & baked goods,Biscuits,Grains,plant
digestive biscuits,Bread & baked goods,Biscuits,Grains,plant
dinner rolls,Bread & baked goods,Rolls,Grains,plant
dish pie crust,Bread & baked goods,Pastries,Grains,plant
dish pie crusts,Bread & baked goods,Pastries,Grains,plant
dish pie pastry,Bread & baked goods,Pastries,Grains,plant
dish pie shell,Bread & baked goods,Pastries,Grains,plant
dish pie shells,Bread & baked goods,Pastries,Grains,plant
dish unbaked pie shell,Bread & baked goods,Pastries,Grains,plant
distilled vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
distilled white vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
ditalini,Refined grains,Pasta,Grains,plant
dolce cheese,Aged cheese,Aged cheese,Dairy,dairy
doritos,Bread & baked goods,Crackers,Grains,plant
doritos chips,Bread & baked goods,Crackers,Grains,plant
doritos taco,Bread & baked goods,Crackers,Grains,plant
doritos tortilla chips,Bread & baked goods,Crackers,Grains,plant
dough rolls,Bread & baked goods,Bread,Grains,plant
drained crabmeat,Shellfish,Crab,Protein (animal),animal
drained oil,Oils,Vegetable oils,Fats & oils,plant
drambuie,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
dream whip,Prepared mixes,Whipped toppings,Sweets,dairy
dream whip dessert topping mix,Prepared mixes,Whipped toppings,Sweets,dairy
dream whip mix,Prepared mixes,Whipped toppings,Sweets,dairy
dream whip topping,Prepared mixes,Whipped toppings,Sweets,dairy
dream whip topping mix,Prepared mixes,Whipped toppings,Sweets,dairy
dream whip whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
dressing crumbs,Condiments & sauces,Salad dressings,Condiments & sauces,plant
dressing ingredients,Condiments & sauces,Salad dressings,Condiments & sauces,plant
dressing mix,Prepared mixes,Stuffing mixes,Grains,plant
dressing of choice,Condiments & sauces,Salad dressings,Condiments & sauces,plant
dressing powder,Condiments & sauces,Salad dressings,Condiments & sauces,plant
dried cheese,Aged cheese,Aged cheese,Dairy,dairy
dried chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
dried chili flakes,Non-starchy vegetables,Chili peppers,Vegetables,plant
dried coriander,Dried spices,Seed spices,Herbs & spices,plant
dried fettuccine,Refined grains,Pasta,Grains,plant
dried fruit,Dried fruits,Dried fruits,Fruits,plant
dried fruits,Dried fruits,Dried fruits,Fruits,plant
dried lavender,Fresh herbs,Soft herbs,Herbs & spices,plant
dried lavender blossoms,Fresh herbs,Soft herbs,Herbs & spices,plant
dried lavender buds,Fresh herbs,Soft herbs,Herbs & spices,plant
dried lavender flowers,Fresh herbs,Soft herbs,Herbs & spices,plant
dried linguine,Refined grains,Pasta,Grains,plant
drink mix,Juices,Fruit juices,Fruits,plant
drippings,Margarine & shortening,Animal fats,Fats & oils,animal
drops bitters,Alcoholic beverages,Cocktail mixers,Condiments & sauces,plant
drops grenadine,Alcoholic beverages,Cocktail mixers,Condiments & sauces,plant
drops lavender oil,Oils,Vegetable oils,Fats & oils,plant
drops oil,Oils,Vegetable oils,Fats & oils,plant
drops peppermint,Fresh herbs,Soft herbs,Herbs & spices,plant
drops red food color,Extracts & essences,Food coloring,Herbs & spices,plant
drops red food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
drops rum,Alcoholic beverages,Rum,Condiments & sauces,plant
drops vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
dry cider,Alcoholic beverages,Cider,Condiments & sauces,plant
dry cracker crumbs,Bread & baked goods,Crackers,Grains,plant
dry fettuccine,Refined grains,Pasta,Grains,plant
dry hidden valley dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
dry jello,Prepared mixes,Gelatins,Sweets,plant
dry knorr vegetable soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
dry red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
dry riesling,Alcoholic beverages,Wine,Condiments & sauces,plant
dry rub,Spice blends,American blends,Herbs & spices,plant
dry rub seasonings,Spice blends,American blends,Herbs & spices,plant
dry sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
dry soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
dry white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
dubliner cheese,Aged cheese,Aged cheese,Dairy,dairy
dulce de leche,Sweets,Confectionery,Sweets,dairy
dumpling noodles,Bread & baked goods,Wrappers,Grains,plant
dumpling wrappers,Bread & baked goods,Wrappers,Grains,plant
dumplings,Bread & baked goods,Wrappers,Grains,plant
duncan hines brownie mix,Prepared mixes,Cake mixes,Sweets,plant
earl grey tea,Coffee & tea,Tea,Herbs & spices,plant
early peas,Legumes,Peas,Protein (plant),plant
easy cheese,Aged cheese,Aged cheese,Dairy,dairy
edible lavender flowers,Fresh herbs,Soft herbs,Herbs & spices,plant
eggnog,Soft drinks,Dairy beverages,Sweets,dairy
elbow macaroni,Refined grains,Pasta,Grains,plant
elbow macaroni noodles,Refined grains,Pasta,Grains,plant
elbow noodles,Refined grains,Pasta,Grains,plant
elbow spaghetti,Refined grains,Pasta,Grains,plant
elderflower syrup,Sweets,Syrup,Sweets,plant
electric coffee,Coffee & tea,Coffee,Herbs & spices,plant
emmentaler cheese,Aged cheese,Aged cheese,Dairy,dairy
emmenthal cheese,Aged cheese,Aged cheese,Dairy,dairy
emmenthaler cheese,Aged cheese,Aged cheese,Dairy,dairy
empty soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
enchilada seasoning,Spice blends,American blends,Herbs & spices,plant
english cheese,Aged cheese,Aged cheese,Dairy,dairy
english cheese spread,Processed cheese,Processed cheese,Dairy,dairy
english peas,Legumes,Peas,Protein (plant),plant
english roast,Red meat,Beef,Protein (animal),animal
enoki,Non-starchy vegetables,Mushrooms,Vegetables,plant
enough oil,Oils,Vegetable oils,Fats & oils,plant
epsom salts,Salt & seasonings,Salt,Herbs & spices,plant
equal,Sweets,Sugar substitutes,Sweets,plant
equal amount,Sweets,Sugar substitutes,Sweets,plant
equal sweetener,Sweets,Sugar substitutes,Sweets,plant
escort crackers,Bread & baked goods,Crackers,Grains,plant
espresso,Coffee & tea,Coffee,Herbs & spices,plant
espresso coffee,Coffee & tea,Coffee,Herbs & spices,plant
espresso granules,Coffee & tea,Coffee,Herbs & spices,plant
espresso powder,Coffee & tea,Coffee,Herbs & spices,plant
espresso pwdr,Coffee & tea,Coffee,Herbs & spices,plant
essential oil,Oils,Vegetable oils,Fats & oils,plant
essential oils,Oils,Vegetable oils,Fats & oils,plant
essentials iodized salt,Salt & seasonings,Salt,Herbs & spices,plant
everglades seasoning,Spice blends,American blends,Herbs & spices,plant
evoo,Oils,Olive oil,Fats & oils,plant
extra cheese,Aged cheese,Aged cheese,Dairy,dairy
extra lean hamburger,Red meat,Ground beef,Protein (animal),animal
extra oil,Oils,Vegetable oils,Fats & oils,plant
extra sharp,Aged cheese,Cheddar,Dairy,dairy
extra sharp cheese,Aged cheese,Cheddar,Dairy,dairy
extra sharp cracker barrel cheese,Bread & baked goods,Crackers,Grains,plant
extra virgin oil,Oils,Vegetable oils,Fats & oils,plant
extra wide noodles,Refined grains,Noodles,Grains,plant
extra-light vegetable oil spread,Condiments & sauces,Spreads,Condiments & sauces,plant
extra-virgin oil,Oils,Vegetable oils,Fats & oils,plant
extract,Extracts & essences,Extracts,Herbs & spices,plant
eye roast,Red meat,Beef,Protein (animal),animal
eye steak,Red meat,Beef,Protein (animal),animal
eye steaks,Red meat,Beef,Protein (animal),animal
fajita marinade,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
fajita seasoning,Spice blends,American blends,Herbs & spices,plant
